id_tmdb,title,tmdb_title,release_date,release_year,release_month,release_quarter,release_period,is_summer_release,is_holiday_release,director_name,top_billed_cast,production_company_names,main_production_company,production_company_count,cast_member_count,tmdb_fetch_status,tmdb_http_status,tmdb_error
167,K-PAX,K-PAX,2001-10-26,2001,10,Q4,primavera,0,0,Iain Softley,Jeff Bridges|Kevin Spacey|Mary McCormack,Intermedia Films|Lawrence Gordon Productions|IMF Internationale Medien und Film 3 & Produktions|Universal Pictures|Senator International,Intermedia Films,5,60,ok,200,
168,Star Trek IV: The Voyage Home,Star Trek IV: The Voyage Home,1986-11-26,1986,11,Q4,primavera,0,1,Leonard Nimoy,William Shatner|Leonard Nimoy|DeForest Kelley,Paramount Pictures,Paramount Pictures,1,55,ok,200,
169,Predator 2,Predator 2,1990-11-21,1990,11,Q4,primavera,0,1,Stephen Hopkins,Danny Glover|Gary Busey|Rubén Blades,Davis Entertainment|Lawrence Gordon Productions|Silver Pictures|20th Century Fox,Davis Entertainment,4,72,ok,200,
170,28 Days Later,28 Days Later,2002-10-31,2002,10,Q4,primavera,0,0,Danny Boyle,Cillian Murphy|Naomie Harris|Brendan Gleeson,DNA Films,DNA Films,1,37,ok,200,
172,Star Trek V: The Final Frontier,Star Trek V: The Final Frontier,1989-06-09,1989,6,Q2,inverno,1,0,William Shatner,William Shatner|Leonard Nimoy|DeForest Kelley,Paramount Pictures,Paramount Pictures,1,24,ok,200,
173,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",1954-12-23,1954,12,Q4,verao,0,1,Richard Fleischer,Kirk Douglas|James Mason|Paul Lukas,Walt Disney Productions,Walt Disney Productions,1,23,ok,200,
174,Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,1991-12-06,1991,12,Q4,verao,0,1,Nicholas Meyer,William Shatner|Leonard Nimoy|DeForest Kelley,Paramount Pictures,Paramount Pictures,1,45,ok,200,
176,Saw,Saw,2004-10-01,2004,10,Q4,primavera,0,0,James Wan,Tobin Bell|Cary Elwes|Leigh Whannell,Twisted Pictures,Twisted Pictures,1,18,ok,200,
177,The Fisher King,The Fisher King,1991-09-20,1991,9,Q3,primavera,0,0,Terry Gilliam,Robin Williams|Jeff Bridges|Amanda Plummer,TriStar Pictures,TriStar Pictures,1,48,ok,200,
178,Blown Away,Blown Away,1994-07-01,1994,7,Q3,inverno,1,0,Stephen Hopkins,Jeff Bridges|Tommy Lee Jones|Suzy Amis,Trilogy Entertainment Group|Metro-Goldwyn-Mayer,Trilogy Entertainment Group,2,39,ok,200,
179,The Interpreter,The Interpreter,2005-04-08,2005,4,Q2,outono,0,0,Sydney Pollack,Nicole Kidman|Sean Penn|Catherine Keener,Mirage Enterprises|Universal Pictures|StudioCanal|Working Title Films|Misher Films|Motion Picture JOTA Produktions|Senator International,Mirage Enterprises,7,68,ok,200,
180,Minority Report,Minority Report,2002-06-20,2002,6,Q2,inverno,1,0,Steven Spielberg,Tom Cruise|Colin Farrell|Samantha Morton,Digital Image Associates|Cruise/Wagner Productions|Blue Tulip Productions|Ronald Shusett/Gary Goldman Productions|Amblin Entertainment|20th Century Fox|DreamWorks Pictures,Digital Image Associates,7,108,ok,200,
182,The Good German,The Good German,2006-12-15,2006,12,Q4,verao,0,1,Steven Soderbergh,George Clooney|Cate Blanchett|Tobey Maguire,Warner Bros. Pictures|Virtual Studios|Section Eight,Warner Bros. Pictures,3,35,ok,200,
