id_tmdb,title,original_language,adult,video,genres,status,runtime,belongs_to_collection,budget,revenue
823219,Straume,lv,False,False,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",Released,85,,3700000,17660107
238,The Godfather,en,False,False,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",Released,175,"{'id': 230, 'name': 'The Godfather Collection', 'poster_path': '/zVb22YOMgljCEYbXlvCvEiN4VwT.jpg', 'backdrop_path': '/mDMCET9Ens5ANvZAWRpluBsMAtS.jpg'}",6000000,245066411
9358,Final Destination 2,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",Released,90,"{'id': 8864, 'name': 'Final Destination Collection', 'poster_path': '/nr4MXTXK2in9gxYhFMQGni66KRJ.jpg', 'backdrop_path': '/y3aWOInifbGKXM34KjtcMITrZRZ.jpg'}",26000000,90941129
15567,Stitch! The Movie,en,False,False,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}]",Released,63,"{'id': 97461, 'name': 'Lilo & Stitch Collection', 'poster_path': '/bstyyXaLinnYwoyvo5HaDceJN07.jpg', 'backdrop_path': '/2bQIDuinsMUXjcBZq8hbyPxjhvz.jpg'}",0,0
24428,The Avengers,en,False,False,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",Released,143,"{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/5LkXlUPrRuhMAeVugr1xXcsZbV8.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",220000000,1518815515
299536,Avengers: Infinity War,en,False,False,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",Released,149,"{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/5LkXlUPrRuhMAeVugr1xXcsZbV8.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",300000000,2052415039
671,Harry Potter and the Philosopher's Stone,en,False,False,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",Released,152,"{'id': 1241, 'name': 'Harry Potter Collection', 'poster_path': '/s4hXqX1VyWMc2ctJRuNBDB7YNJ3.jpg', 'backdrop_path': '/kmEsQL2vOTA0jnM28fXS45Ky8kX.jpg'}",125000000,976475550
1294203,My Fault: London,en,False,False,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",Released,118,"{'id': 1477387, 'name': 'Fault: London Collection', 'poster_path': None, 'backdrop_path': None}",0,0
1321017,Fin de fiesta,es,False,False,"[{'id': 35, 'name': 'Comedy'}]",Released,103,,0,0
9286,Final Destination 3,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",Released,92,"{'id': 8864, 'name': 'Final Destination Collection', 'poster_path': '/nr4MXTXK2in9gxYhFMQGni66KRJ.jpg', 'backdrop_path': '/y3aWOInifbGKXM34KjtcMITrZRZ.jpg'}",25000000,118890272
969778,Модель,ru,False,False,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Released,0,,0,0
1377424,വിക്ടോറിയ,ml,False,False,"[{'id': 18, 'name': 'Drama'}]",Released,84,,0,0
597,Titanic,en,False,False,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Released,194,,200000000,2264162353
1244944,The Woman in the Yard,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",Released,87,,12000000,23310713
933260,The Substance,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",Released,141,,17500000,76506196
259872,Des jours plus belles que la nuit,fr,False,False,"[{'id': 10749, 'name': 'Romance'}]",Released,60,,0,0
872585,Oppenheimer,en,False,False,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",Released,181,,100000000,952000000
19912,The Final Destination,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",Released,82,"{'id': 8864, 'name': 'Final Destination Collection', 'poster_path': '/nr4MXTXK2in9gxYhFMQGni66KRJ.jpg', 'backdrop_path': '/y3aWOInifbGKXM34KjtcMITrZRZ.jpg'}",40000000,187384627
1064486,Memoir of a Snail,en,False,False,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",Released,94,,4350000,7
1244890,Sharp Corner,en,False,False,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",Released,111,,0,0
